"title"|"task"|"tools"|"summary1"|"summary2"|"linkedinUrl"
"100 School Mission Progress Tracker"|"Started research and planning for the 100 School Mission, focusing on developing a personalized and engaging progress tracker for #100DaysOfAI and #100DaysOfNoCode participants."|"Canva, Notion, Airtable, Glide"|"Initiated the mission with an inspiration search across habit trackers, fitness apps, and project management tools to gather ideas for visually engaging and motivating progress tracking."|"I brainstormed various concepts, including AI-generated visuals, interactive progress trackers, and potential app prototypes. Currently evaluating tools like Canva, Notion, Airtable, and Glide to bring these ideas to life. Tomorrow, I'll continue researching and refining the plan with a goal to create an inspiring progress tracker that adds value throughout the challenge."
"100 School Mission Research & Planning"|"Dedicated time to research and planning for the 100 School Mission project, focusing on innovative approaches to create a progress tracker for #100DaysOfAI and #100DaysOfNoCode."|"Notion, Trello, Miro, ChatGPT"|"Used Notion and Trello to structure my thoughts and organize a clear action plan for the tracker. Miro helped visualize the workflow, while ChatGPT assisted in refining ideas for scalability."|"Today, I laid a strong foundation by mapping out each step thoroughly, aiming to exceed expectations with a well-organized and innovative progress tracker. Tomorrow, the building phase starts, where these plans will come to life."
"Building My Progress Showcase Website"|"Initiated the creation of a dedicated website to document my #100DaysOfAI journey, showcasing daily progress and insights for anyone following or starting their own challenge."|"Custom Code, Website Builder, Interactive Timeline Tools"|"Finalized the website’s structure and layout, began coding the homepage, and integrated a blog-style format for daily updates. Created an interactive timeline to visually represent my 100-day progress."|"Excited to make this website the ultimate resource hub for tracking and inspiring AI and No-Code journeys, featuring interactive timelines and visual highlights. Looking forward to sharing the finished site!"
"Website Progress Update"|"Advanced the development of my progress showcase website for the #100DaysOfAI journey, enhancing user experience with interactive and functional design elements."|"HTML, CSS, JavaScript, Web Design"|"Implemented a sticky navigation bar that changes background on scroll, making site navigation smoother. Linked external CSS and JavaScript files for dynamic styling and functionality, and added smooth scrolling with transitions for a polished user experience."|"Excited to see the website come to life with features like smooth scrolling and a dynamic navbar, aiming for a professional look that enhances user engagement. Looking forward to adding even more functionality!"
"Content Added to the Website!"|"Focused on organizing and adding content to my #100DaysOfAI website, enhancing accessibility and engagement for visitors."|"HTML, CSS, Web Content Management"|"Created detailed daily progress entries with dates, task titles, summaries, and full descriptions of challenges and learnings. Added a weekly reflections section summarizing my AI journey, and incorporated visual content like project images and embedded LinkedIn posts to engage visitors."|"Excited to see my website evolve with rich content and visuals, making it a valuable resource for anyone following my journey. Looking forward to the next steps in this project!"|
"My Progress Showcase Website is LIVE!"|"Excited to launch the first version of my website showcasing my journey through the #100DaysOfAI challenge, highlighting daily progress, reflections, and insights."|"Website Development Tools, Web Design"|"Launched the website featuring daily progress updates, weekly reflections, and interactive elements. Announced upcoming enhancements like an achievements section and AI-powered features, while also inviting community feedback."|"Thrilled to share this milestone with the community and eager to continue evolving the site as I progress in my AI journey. Check it out and let me know your thoughts!"
"Rest is Progress ✨"|"Reflected on the importance of rest in my learning journey, acknowledging that taking breaks is essential for growth and energy for future challenges."|"None"|"Focused on recharging after a productive week, emphasizing the significance of rest. No major projects today, but recognized the necessity of taking time away from the screen to maintain momentum."|"Embraced the idea that rest is a vital part of progress, preparing myself for the upcoming 14 lessons. Encouraged others on similar journeys to prioritize their well-being."
New Professional Headshots, Powered by AI|Created professional-looking headshots using Canva's AI tool to enhance my online presence.|Canva|Today’s challenge was all about creating professional headshots with AI-powered tools. Thanks to Canva’s AI headshot generator, I was able to quickly generate a polished profile picture—no professional photographer needed! 📸 Why It Matters: Personal branding is essential, and having a professional photo can make a big difference in how you’re perceived online. AI tools like this make it simple and accessible for everyone to present themselves professionally. Excited to keep exploring the endless possibilities of AI!|In today’s lesson, I learned how to create professional headshots using AI, which emphasized the importance of personal branding in the digital world. With Canva, I was able to generate high-quality images quickly and efficiently, making it easier to maintain a polished online presence without needing a professional photographer.
Using AI to Aid Critical Thinking|Reflecting on the 100 Days of AI project and insights gained.|ChatGPT|Today, I learned to leverage AI for enhancing my critical thinking skills.|By engaging in a reflective exercise using AI, I was able to uncover unique insights from my recent project, the 100 Days of AI Progress Tracker. I realized the importance of simplicity in design for user engagement, the challenges of ensuring responsive design for inclusivity, and how interactive features significantly enhance user accountability. This process of reflection not only deepened my understanding of critical thinking but also provided valuable lessons that I will apply to my future projects, ensuring that the insights I share are authentic and meaningful.
"Crafting a Personalized Unique Value Proposition"|"Use AI to identify your unique value proposition as a creator."|"AI Assistant"|"Today’s task focused on creating a personalized unique value proposition (UVP), a statement that highlights my distinct skills, strengths, and the value I bring as a creator. This exercise pushed me to reflect on my strengths and think critically about how I can effectively communicate my value in the AI space. I learned that AI is more than just a tool; it’s a passion for innovation, problem-solving, and continuous improvement. I crafted five UVPs, with my primary statement being: 'Delivering AI innovations with a focus on real-world applications, ensuring measurable results and continuous improvement.' This exercise reinforced the importance of self-reflection in my personal brand."|"Today’s insights will help me refine my portfolio and LinkedIn profile, enabling me to connect better with others in the AI community."
